master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
103434498,METROPOLITAN NASHVILLE POLICE DEPT,20220493666,Davidson,Nashville,10/1/2022 12:00:00 AM,2,1,0,36.155040,-86.797520,18TH AVN,,,,0.00,Feet,,CHURCH ST,,,,0.00,Y,Four-Way,Y,Intersection,None,,,         ,Brian,Hickman,Clear,Angle,no,no,no,no,no,False
103434514,METROPOLITAN NASHVILLE POLICE DEPT,20220493965,Davidson,Nashville,10/1/2022 4:35:00 AM,1,1,0,36.183400,-86.798870,I 65,,,,0.00,,,,,,,85.05,N,Not at Intersection,N,Non-Junction,None,,,         ,Martin,Brown,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103434557,METROPOLITAN NASHVILLE POLICE DEPT,20220493905,Davidson,Nashville,10/1/2022 12:13:00 AM,2,0,0,36.097780,-86.718960,MIMOSA DR,,,,336.00,Feet,South,MARCUS DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Sierra,Walker,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
103434564,METROPOLITAN NASHVILLE POLICE DEPT,20220493902,Davidson,Nashville,10/1/2022 2:56:00 AM,3,0,0,36.078290,-86.643010,MURFREESBORO PKE,,,,7.00,Feet,East,MARTWAY DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dylan,Motes,Clear,Angle,no,no,no,no,no,False
103434565,METROPOLITAN NASHVILLE POLICE DEPT,20220493979,Davidson,Nashville,10/1/2022 5:00:00 AM,2,1,0,36.152710,-86.828850,CHARLOTTE AV,,,,0.00,,,37TH AVN,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,John,Jones,Clear,Front to Rear,no,no,no,no,no,False
103434595,METROPOLITAN NASHVILLE POLICE DEPT,20220493964,Davidson,Nashville,10/1/2022 4:36:00 AM,1,0,0,36.115730,-86.781300,I65 ENT RAMP,,,,0.00,,,I 440,,,,0.00,Y,OTHER,N,Non-Junction,None,,,         ,Sierra,Walker,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
103434609,METROPOLITAN NASHVILLE POLICE DEPT,20220494077,Davidson,Not in City Limit,10/1/2022 7:15:00 AM,1,0,0,36.087450,-86.936280,SAWYER BROWN RD,,,,60.00,Feet,North,DAN KESTNER DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jackson,Smythe,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103434623,METROPOLITAN NASHVILLE POLICE DEPT,20220493935,Davidson,Nashville,10/1/2022 12:19:00 AM,2,0,0,36.058760,-86.678600,I 24,,,,0.00,,,,,,,58.00,N,Not at Intersection, ,Non-Junction,Work Zone,,,         ,Holly,Davis,Clear,Front to Rear,no,no,no,no,no,False
103434638,METROPOLITAN NASHVILLE POLICE DEPT,20220494008,Davidson,Nashville,10/1/2022 5:55:00 AM,2,3,0,36.145950,-86.666600,ROYAL PKWY,,,,0.00,,,DONELSON PKE,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Timothy,Lehnert,Clear,HeadOn,no,no,no,no,no,False
103434662,METROPOLITAN NASHVILLE POLICE DEPT,20220494051,Davidson,Nashville,10/1/2022 12:00:00 AM,1,0,0,36.188190,-86.798500,ROSA L PARKS BLVD,,,,98.00,Feet,North,DOMINICAN DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Alex,Gibson,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
103434677,METROPOLITAN NASHVILLE POLICE DEPT,20220493658,Davidson,Nashville,10/1/2022 12:05:00 AM,6,5,0,36.150900,-86.750430,I 40,,,,0.00,,,,,,,211.60,N,Not at Intersection,N,Non-Junction,None,,,         ,Connor,Hosey,Clear,Front to Rear,no,no,no,no,no,False
